scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,reputation_learning_rate,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,1,3322.2531051229653,0.830563276280741,26578.024840983722,6.644506210245928,283.7561595095031,80517.55805958256,0.04715055789989986,0.25,2.0,4,0.30371875,2.0205088178412405,4.2615,12.4,23021.975159016278,0.0,1.0
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,7,3368.633867062248,0.8421584667655618,26949.070936497985,6.737267734124495,308.750643848785,95326.96007703926,0.050746198612244386,0.25,2.25,5,0.30890625,2.0069935904838334,4.22825,12.4,22650.929063502015,0.0,1.0
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,21,3372.242612788467,0.8430606531971155,26977.940902307735,6.744485225576924,314.4042078073969,98850.00588699682,0.05077149643979606,0.25,2.0,4,0.3075625,2.0134420873637016,4.24925,12.4,22622.059097692265,0.0,1.0
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,42,3400.9224799274207,0.850230619981854,27207.379839419365,6.801844959854832,324.58435415707316,105355.00296356429,0.05344987301546311,0.25,2.25,5,0.3058125,2.012391523693652,4.2405,12.4,22392.620160580635,0.0,1.0
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,84,3419.1841009901127,0.854796025247528,27353.4728079209,6.838368201980224,321.43845597055844,103322.68097673662,0.05285195348019589,0.375,1.9056390622295662,4,0.30775,2.007627406017843,4.22875,12.4,22246.5271920791,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,1,2770.1325430762367,0.6925331357690595,22161.060344609894,5.540265086152476,85.44111460918627,7300.184065660103,0.01567439977692975,0.375,1.8112781244591325,4,0.4175625,1.7392621991560175,3.73425,12.4,27438.939655390106,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,7,2955.350289112319,0.7388375722780801,23642.80231289855,5.910700578224641,184.28527846322282,33961.06385826758,0.030848755772452163,0.375,1.9056390622295662,4,0.40090625,1.817110835614752,3.938,12.4,25957.19768710145,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,21,2820.8131839516027,0.7052032959879009,22566.50547161282,5.641626367903207,124.0127152333179,15379.153539539999,0.02404164826242705,0.375,1.9056390622295662,4,0.4149375,1.7496538228204337,3.75175,12.4,27033.49452838718,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,42,2883.7415204293206,0.72093538010733,23069.932163434565,5.76748304085864,95.50584882039433,9121.367158904017,0.018230758215551424,0.375,1.9056390622295662,4,0.4105625,1.7626528729566049,3.78075,12.4,26530.067836565435,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,84,2856.074040675646,0.7140185101689112,22848.592325405167,5.712148081351289,135.26089517182922,18295.509762684575,0.025448535179433796,0.375,1.5612781244591325,3,0.40946875,1.7829283095767081,3.8505,12.4,26751.407674594833,0.0,1.0
