scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,reputation_learning_rate,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,1,3322.2531051229653,0.830563276280741,26578.024840983722,6.644506210245928,283.7561595095031,80517.55805958256,0.04715055789989986,0.25,2.0,4,0.30371875,2.0205088178412405,4.2615,12.4,23021.975159016278,0.0,1.0
sq2_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,7,3368.633867062248,0.8421584667655618,26949.070936497985,6.737267734124495,308.750643848785,95326.96007703926,0.050746198612244386,0.25,2.25,5,0.30890625,2.0069935904838334,4.22825,12.4,22650.929063502015,0.0,1.0
sq2_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,21,3372.242612788467,0.8430606531971155,26977.940902307735,6.744485225576924,314.4042078073969,98850.00588699682,0.05077149643979606,0.25,2.0,4,0.3075625,2.0134420873637016,4.24925,12.4,22622.059097692265,0.0,1.0
sq2_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,42,3400.9224799274207,0.850230619981854,27207.379839419365,6.801844959854832,324.58435415707316,105355.00296356429,0.05344987301546311,0.25,2.25,5,0.3058125,2.012391523693652,4.2405,12.4,22392.620160580635,0.0,1.0
sq2_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,84,3419.1841009901127,0.854796025247528,27353.4728079209,6.838368201980224,321.43845597055844,103322.68097673662,0.05285195348019589,0.375,1.9056390622295662,4,0.30775,2.007627406017843,4.22875,12.4,22246.5271920791,0.0,1.0
sq2_global_clean_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,1,3346.36152388438,0.8365903809710944,26770.89219107504,6.692723047768755,284.5816807789266,80986.73303495889,0.04575014108103348,0.25,2.0,4,0.304875,2.015669061980175,4.2475,12.4,22829.10780892496,0.0,1.7135473428270238
sq2_global_clean_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,7,3337.504616200943,0.834376154050236,26700.036929607544,6.675009232401888,272.35626744911,74177.93641881115,0.044281268077835056,0.25,2.0,4,0.30378125,2.0204852276067977,4.2625,12.4,22899.963070392456,0.0,1.7317864658201667
sq2_global_clean_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,21,3393.696042346682,0.8484240105866712,27149.568338773457,6.787392084693369,298.24324041281415,88949.03045193567,0.04869461814355169,0.25,2.25,5,0.30571875,2.0178302455691925,4.261,12.4,22450.431661226543,0.0,1.7247866101018177
sq2_global_clean_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,42,3391.804678812692,0.8479511697031721,27134.437430501537,6.783609357625377,328.8600497188977,108148.93230111586,0.054458633389661504,0.25,2.25,5,0.30721875,2.007433816660374,4.224,12.4,22465.562569498463,0.0,1.6939633347524437
sq2_global_clean_reputation,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,84,3411.4787451531574,0.8528696862882887,27291.82996122526,6.82295749030631,304.79484813611015,92899.89945031446,0.050552656119429606,0.25,2.25,5,0.30859375,2.0081152072826693,4.23125,12.4,22308.17003877474,0.0,1.665922547036699
sq2_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,1,3116.0675198057793,0.7790168799514454,24928.540158446234,6.232135039611563,268.3922553937369,72034.4027553369,0.048469493026419785,0.375,1.5612781244591325,3,0.3421875,1.8987522239776584,3.94675,12.4,24671.459841553766,0.17109375,1.0
sq2_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,7,3083.538315905353,0.7708845789763383,24668.306527242825,6.167076631810707,258.5079505850672,66826.36051569153,0.04649739097443706,0.25,2.25,5,0.34103125,1.9017760966375592,3.95325,12.4,24931.693472757175,0.17690625,1.0
sq2_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,21,3093.150710810102,0.7732876777025266,24745.205686480815,6.186301421620213,322.9363197350802,104287.86660403795,0.05848144281175771,0.375,1.9056390622295662,4,0.34540625,1.8969198915435461,3.95275,12.4,24854.794313519185,0.17403125,1.0
sq2_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,42,3119.1765939373986,0.7797941484843495,24953.41275149919,6.238353187874796,415.0908476899249,172300.4118359404,0.07397172175467692,0.25,2.0,4,0.35496875,1.8898377493611844,3.94825,12.4,24646.58724850081,0.1765625,1.0
sq2_global_malicious_no_reputation,global,fully_connected,0.0,False,0.25,0.7,1.0,0.0,0.0,84,3182.9219199587133,0.7957304799896785,25463.375359669706,6.365843839917428,256.0350859145552,65553.96521927368,0.04556322476252905,0.375,1.9056390622295662,4,0.3318125,1.9131824908024555,3.96075,12.4,24136.624640330294,0.17359375,1.0
sq2_global_malicious_reputation,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,1,3144.8170482441406,0.7862042620610351,25158.536385953124,6.289634096488281,267.97571735263944,71810.98509066169,0.046915280196178966,0.375,1.9056390622295662,4,0.334375,1.9183375650137686,3.99,12.4,24441.463614046876,0.1726875,1.651152094150647
sq2_global_malicious_reputation,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,7,3161.04024496886,0.7902600612422153,25288.32195975088,6.322080489937722,262.09022197202364,68691.28445334463,0.04502915486174586,0.375,1.9056390622295662,4,0.3345625,1.9163896329848173,3.98425,12.4,24311.67804024912,0.17615625,1.6514671282201265
sq2_global_malicious_reputation,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,21,3155.9719370068756,0.7889929842517194,25247.775496055005,6.311943874013755,332.00603025325535,110228.00412452551,0.059176489419099365,0.375,1.9056390622295662,4,0.33840625,1.9154736540673443,3.992,12.4,24352.224503944995,0.1740625,1.6562051627689203
sq2_global_malicious_reputation,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,42,3138.82546801468,0.7847063670036704,25110.60374411744,6.277650936029363,424.2966285032878,180027.62895925704,0.07514919417672816,0.375,2.1556390622295662,5,0.35171875,1.9024669798387235,3.98075,12.4,24489.39625588256,0.17746875,1.6356168381045644
sq2_global_malicious_reputation,global,fully_connected,0.0,True,0.25,0.7,1.0,1.0,0.25,84,3242.222028392548,0.8105555070981372,25937.776227140384,6.484444056785097,230.05244459771814,52924.12726538617,0.039883630918970736,0.25,2.0,4,0.32315625,1.941911159971679,4.031,12.4,23662.223772859616,0.17378125,1.5923287674164903
sq2_local_clean_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,1,2770.1325430762367,0.6925331357690595,22161.060344609894,5.540265086152476,85.44111460918627,7300.184065660103,0.01567439977692975,0.375,1.8112781244591325,4,0.4175625,1.7392621991560175,3.73425,12.4,27438.939655390106,0.0,1.0
sq2_local_clean_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,7,2955.350289112319,0.7388375722780801,23642.80231289855,5.910700578224641,184.28527846322282,33961.06385826758,0.030848755772452163,0.375,1.9056390622295662,4,0.40090625,1.817110835614752,3.938,12.4,25957.19768710145,0.0,1.0
sq2_local_clean_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,21,2820.8131839516027,0.7052032959879009,22566.50547161282,5.641626367903207,124.0127152333179,15379.153539539999,0.02404164826242705,0.375,1.9056390622295662,4,0.4149375,1.7496538228204337,3.75175,12.4,27033.49452838718,0.0,1.0
sq2_local_clean_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,42,2883.7415204293206,0.72093538010733,23069.932163434565,5.76748304085864,95.50584882039433,9121.367158904017,0.018230758215551424,0.375,1.9056390622295662,4,0.4105625,1.7626528729566049,3.78075,12.4,26530.067836565435,0.0,1.0
sq2_local_clean_no_reputation,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,0.0,84,2856.074040675646,0.7140185101689112,22848.592325405167,5.712148081351289,135.26089517182922,18295.509762684575,0.025448535179433796,0.375,1.5612781244591325,3,0.40946875,1.7829283095767081,3.8505,12.4,26751.407674594833,0.0,1.0
sq2_local_clean_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,0.25,1,2898.7987268057595,0.7246996817014404,23190.389814446076,5.797597453611523,247.92694540807184,61467.77025937704,0.04460526912711127,0.375,1.8112781244591327,4,0.4055,1.7930386483823897,3.8635,12.4,26409.610185553924,0.0,1.1941512662930518
sq2_local_clean_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,0.25,7,2822.510376946873,0.7056275942367181,22580.083015574983,5.6450207538937445,214.4157087350106,45974.096152336904,0.03610896410618958,0.375,1.5612781244591325,3,0.41246875,1.7734481484356952,3.8285,12.4,27019.916984425017,0.0,1.182730212474571
sq2_local_clean_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,0.25,21,2869.9634505420204,0.7174908626355048,22959.707604336163,5.739926901084038,123.20357148067556,15179.120025593933,0.024191926134704334,0.25,2.0,4,0.401875,1.8129387228975966,3.92075,12.4,26640.292395663837,0.0,1.182400776227631
sq2_local_clean_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,0.25,42,2924.1570052514808,0.7310392513128713,23393.256042011846,5.84831401050297,169.30482972278867,28664.125367462464,0.0324722648582485,0.375,2.1556390622295662,5,0.40365625,1.7991940081547535,3.8805,12.4,26206.743957988154,0.0,1.1926097738587789
sq2_local_clean_reputation,local,ring_lattice,0.0,True,0.0,0.0,0.0,1.0,0.25,84,3009.030841324639,0.7522577103311594,24072.24673059711,6.018061682649275,175.9162158003962,30946.51498153157,0.031172140107742274,0.375,2.1556390622295662,5,0.3974375,1.8204896371463353,3.9345,12.4,25527.75326940289,0.0,1.192593816621228
sq2_local_malicious_no_reputation,local,ring_lattice,0.0,False,0.25,0.7,1.0,0.0,0.0,1,2888.2047381000075,0.7220511845250024,23105.63790480006,5.776409476200019,399.26309499518635,159411.0190251352,0.07283379005374613,0.5,1.5,3,0.41146875,1.7699725342304014,3.80575,12.4,26494.36209519994,0.1748125,1.0
sq2_local_malicious_no_reputation,local,ring_lattice,0.0,False,0.25,0.7,1.0,0.0,0.0,7,2580.971669434622,0.6452429173586562,20647.773355476977,5.16194333886925,207.81485822584207,43187.01529942684,0.04390204875371029,0.5,1.4056390622295662,3,0.4370625,1.6502585542782946,3.496,12.4,28952.226644523023,0.174,1.0
sq2_local_malicious_no_reputation,local,ring_lattice,0.0,False,0.25,0.7,1.0,0.0,0.0,21,2621.4734577152117,0.6553683644288032,20971.787661721693,5.242946915430426,295.7828883998743,87487.51707017251,0.06355396645242717,0.5,1.75,4,0.44540625,1.6544572553650083,3.536,12.4,28628.212338278307,0.17409375,1.0
sq2_local_malicious_no_reputation,local,ring_lattice,0.0,False,0.25,0.7,1.0,0.0,0.0,42,2399.798778616789,0.5999496946541975,19198.390228934313,4.79959755723358,280.9186220162556,78915.27219551188,0.065634310271796,0.25,2.5,6,0.46815625,1.5712675738831654,3.35475,12.4,30401.609771065687,0.1734375,1.0
sq2_local_malicious_no_reputation,local,ring_lattice,0.0,False,0.25,0.7,1.0,0.0,0.0,84,2551.973146503967,0.637993286625992,20415.785172031738,5.103946293007936,189.33055750565887,35846.0600054036,0.04177176051248277,0.5,1.75,4,0.4385,1.6596969749126458,3.53375,12.4,29184.214827968262,0.17259375,1.0
sq2_local_malicious_reputation,local,ring_lattice,0.0,True,0.25,0.7,1.0,1.0,0.25,1,2778.662611100429,0.6946656527751062,22229.30088880343,5.557325222200849,366.45467047360404,134289.02551191772,0.06259708577800982,0.5,1.4056390622295662,3,0.42559375,1.705861353662549,3.6385,12.4,27370.69911119657,0.1756875,1.1846163849333662
sq2_local_malicious_reputation,local,ring_lattice,0.0,True,0.25,0.7,1.0,1.0,0.25,7,2654.044913366533,0.6635112283416345,21232.359306932263,5.308089826733076,234.71409103055234,55090.70452829841,0.049555466925143676,0.5,1.5,3,0.42653125,1.6869031537321166,3.57725,12.4,28367.640693067737,0.17503125,1.1544649354243708
sq2_local_malicious_reputation,local,ring_lattice,0.0,True,0.25,0.7,1.0,1.0,0.25,21,2646.9705902332553,0.6617426475583134,21175.764721866042,5.293941180466507,379.7163896844278,144184.5365949762,0.0812705493458643,0.5,1.5,3,0.4423125,1.6458539740808524,3.49475,12.4,28424.235278133958,0.1734375,1.1577312222743414
sq2_local_malicious_reputation,local,ring_lattice,0.0,True,0.25,0.7,1.0,1.0,0.25,42,2491.3591791360036,0.622839794784001,19930.87343308803,4.982718358272008,339.4512455456539,115227.1481024958,0.07607326786814617,0.375,1.5612781244591325,3,0.45884375,1.6012409364104692,3.413,12.4,29669.12656691197,0.177625,1.1377143123179378
sq2_local_malicious_reputation,local,ring_lattice,0.0,True,0.25,0.7,1.0,1.0,0.25,84,2604.8430824741877,0.6512107706185465,20838.7446597935,5.209686164948372,156.6512832941494,24539.62455770385,0.032590688150172076,0.5,1.75,4,0.42840625,1.7008664295470213,3.63875,12.4,28761.2553402065,0.175,1.1771017863719544
