scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,reputation_learning_rate,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq2_lr_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,1,3322.2531051229653,0.830563276280741,26578.024840983722,6.644506210245928,283.7561595095031,80517.55805958256,0.04715055789989986,0.25,2.0,4,0.30371875,2.0205088178412405,4.2615,12.4,23021.975159016278,0.0,1.0
sq2_lr_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,7,3368.633867062248,0.8421584667655618,26949.070936497985,6.737267734124495,308.750643848785,95326.96007703926,0.050746198612244386,0.25,2.25,5,0.30890625,2.0069935904838334,4.22825,12.4,22650.929063502015,0.0,1.0
sq2_lr_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,21,3372.242612788467,0.8430606531971155,26977.940902307735,6.744485225576924,314.4042078073969,98850.00588699682,0.05077149643979606,0.25,2.0,4,0.3075625,2.0134420873637016,4.24925,12.4,22622.059097692265,0.0,1.0
sq2_lr_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,42,3400.9224799274207,0.850230619981854,27207.379839419365,6.801844959854832,324.58435415707316,105355.00296356429,0.05344987301546311,0.25,2.25,5,0.3058125,2.012391523693652,4.2405,12.4,22392.620160580635,0.0,1.0
sq2_lr_global_clean_no_reputation,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,0.0,84,3419.1841009901127,0.854796025247528,27353.4728079209,6.838368201980224,321.43845597055844,103322.68097673662,0.05285195348019589,0.375,1.9056390622295662,4,0.30775,2.007627406017843,4.22875,12.4,22246.5271920791,0.0,1.0
sq2_lr_global_clean_lr_0.05,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.05,1,3331.866411469305,0.832966602867325,26654.93129175444,6.6637328229386,290.12135851217147,84170.40266494792,0.04846742316785524,0.375,1.9056390622295662,4,0.306875,2.014215677598144,4.25075,12.4,22945.06870824556,0.0,1.7052928030335537
sq2_lr_global_clean_lr_0.05,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.05,7,3386.4818304163446,0.8466204576040861,27091.854643330757,6.772963660832689,309.1897952685409,95598.32949820222,0.050366844130051325,0.25,2.0,4,0.31040625,2.0024084396994737,4.21575,12.4,22508.145356669243,0.0,1.718388801000579
sq2_lr_global_clean_lr_0.05,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.05,21,3383.9855474652827,0.8459963868663207,27071.88437972226,6.767971094930566,286.93445469228453,82331.38128955869,0.04605048036246728,0.375,1.9056390622295662,4,0.30553125,2.0136994186169463,4.24325,12.4,22528.11562027774,0.0,1.726070213577053
sq2_lr_global_clean_lr_0.05,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.05,42,3377.6361360760525,0.8444090340190141,27021.08908860842,6.755272272152113,295.7173460702516,87448.74876683294,0.04824591053689642,0.375,1.9056390622295662,4,0.3063125,2.0173927455691927,4.2605,12.4,22578.91091139158,0.0,1.7081718242107569
sq2_lr_global_clean_lr_0.05,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.05,84,3409.316964473877,0.8523292411184689,27274.535715791015,6.818633928947751,321.66091496573944,103465.74421659665,0.05259355707918356,0.375,1.9056390622295662,4,0.30771875,2.0067472561104562,4.22475,12.4,22325.464284208985,0.0,1.69999871418487
sq2_lr_global_clean_lr_0.1,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.1,1,3373.261039928995,0.8433152599822478,26986.08831943196,6.746522079857982,306.00464173295416,93638.84076211364,0.05056749649638137,0.25,2.25,5,0.3058125,2.0115649260380777,4.236,12.4,22613.91168056804,0.0,1.7018764850941144
sq2_lr_global_clean_lr_0.1,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.1,7,3398.8303372325927,0.8497075843081497,27190.64269786074,6.797660674465198,299.22380062639206,89534.88286130283,0.04893186851797515,0.25,2.0,4,0.305125,2.0242502647124545,4.28325,12.4,22409.35730213926,0.0,1.707227120961122
sq2_lr_global_clean_lr_0.1,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.1,21,3396.968875801955,0.8492422189504887,27175.75100641564,6.7939377516039094,308.7159804251697,95305.55656987376,0.05001654131612998,0.375,1.9056390622295662,4,0.3056875,2.016480057679176,4.25475,12.4,22424.24899358436,0.0,1.6960108390482256
sq2_lr_global_clean_lr_0.1,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.1,42,3401.531627542848,0.8503829068857116,27212.253020342785,6.803063255085693,294.79819874015834,86905.97798044191,0.047967593077611115,0.375,1.9056390622295662,4,0.3061875,2.0145272381480614,4.2475,12.4,22387.746979657215,0.0,1.7063376298659416
sq2_lr_global_clean_lr_0.1,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.1,84,3396.3698546975033,0.8490924636743755,27170.958837580027,6.792739709395004,307.4818230239106,94545.07149010745,0.050846154267080834,0.375,1.8112781244591325,4,0.30759375,2.0116825947848325,4.24225,12.4,22429.041162419973,0.0,1.6855115902402027
sq2_lr_global_clean_lr_0.25,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,1,3346.36152388438,0.8365903809710944,26770.89219107504,6.692723047768755,284.5816807789266,80986.73303495889,0.04575014108103348,0.25,2.0,4,0.304875,2.015669061980175,4.2475,12.4,22829.10780892496,0.0,1.7135473428270238
sq2_lr_global_clean_lr_0.25,global,fully_connected,0.0,True,0.0,0.0,0.0,1.0,0.25,7,3337.504616200943,0.834376154050236,26700.036929607544,6.675009232401888,272.35626744911,74177.93641881115,0.044281268077835056,0.25,2.0,4,0.30378125,2.0204852276067977,4.2625,12.4,22899.963070392456,0.0,1.7317864658201667
