scenario,communication_structure,use_reputation,timestep,n_runs,group_reward_mean,group_reward_std,mean_reward_mean,mean_reward_std,most_popular_arm_share_mean,most_popular_arm_share_std,choice_entropy_mean,choice_entropy_std,distinct_arms_chosen_mean,distinct_arms_chosen_std
sq2_global_no_reputation,global,False,1,1,5.265183937745277,0.0,0.6581479922181597,0.0,0.25,0.0,2.0,0.0,4,0.0
sq2_global_no_reputation,global,False,2,1,7.275035183143043,0.0,0.9093793978928804,0.0,0.25,0.0,2.0,0.0,4,0.0
sq2_global_no_reputation,global,False,3,1,6.754822143591092,0.0,0.8443527679488865,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0
sq2_global_no_reputation,global,False,4,1,4.0259369436952115,0.0,0.5032421179619014,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0
sq2_global_no_reputation,global,False,5,1,5.50346428555042,0.0,0.6879330356938025,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0
sq2_global_reputation,global,True,1,1,5.265183937745277,0.0,0.6581479922181597,0.0,0.25,0.0,2.0,0.0,4,0.0
sq2_global_reputation,global,True,2,1,7.275035183143043,0.0,0.9093793978928804,0.0,0.25,0.0,2.0,0.0,4,0.0
sq2_global_reputation,global,True,3,1,6.754822143591092,0.0,0.8443527679488865,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0
sq2_global_reputation,global,True,4,1,4.0259369436952115,0.0,0.5032421179619014,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0
sq2_global_reputation,global,True,5,1,5.50346428555042,0.0,0.6879330356938025,0.0,0.375,0.0,1.9056390622295662,0.0,4,0.0
sq2_local_no_reputation,local,False,1,1,2.232686581142359,0.0,0.27908582264279486,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_no_reputation,local,False,2,1,1.958266869145044,0.0,0.2447833586431305,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_no_reputation,local,False,3,1,1.262913747765004,0.0,0.1578642184706255,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_no_reputation,local,False,4,1,0.9983111709736128,0.0,0.1247888963717016,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_no_reputation,local,False,5,1,2.8126918316349347,0.0,0.35158647895436684,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_reputation,local,True,1,1,2.232686581142359,0.0,0.27908582264279486,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_reputation,local,True,2,1,1.958266869145044,0.0,0.2447833586431305,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_reputation,local,True,3,1,1.262913747765004,0.0,0.1578642184706255,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_reputation,local,True,4,1,0.9983111709736128,0.0,0.1247888963717016,0.0,0.5,0.0,1.0,0.0,2,0.0
sq2_local_reputation,local,True,5,1,2.8126918316349347,0.0,0.35158647895436684,0.0,0.5,0.0,1.0,0.0,2,0.0
