metric,value
average_cumulative_return,6.1820519859448835
average_reward_over_time,0.3091025992972442
final_group_performance,49.45641588755907
average_group_reward_per_timestep,2.4728207943779537
cumulative_return_std,2.05262538989444
cumulative_return_variance,4.213270991239304
gini_coefficient,0.18365560782206503
final_most_popular_arm_share,0.75
final_choice_entropy,1.061278124459133
final_distinct_arms_chosen,3
mean_most_popular_arm_share,0.825
mean_choice_entropy,0.69161758072589
mean_distinct_arms_chosen,2.25
oracle_expected_group_reward_per_step,5.300000000000001
expected_regret,56.543584112440946
