scenario,communication_structure,use_reputation,communication_noise,network_topology,reputation_strength,malicious_agent_ratio,lying_probability,lie_magnitude,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,0.7720665527551606,0.1544133105510321,6.1765324220412845,1.2353064844082569,1.1102230246251565e-16,1.232595164407831e-32,2.220446049250313e-16,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,20.32346757795872,0.0,1.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,0.9613311417702901,0.192266228354058,7.690649134162321,1.538129826832464,0.0,0.0,2.220446049250313e-16,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,18.809350865837683,0.0,1.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,0.6530707471168538,0.13061414942337074,5.22456597693483,1.044913195386966,0.0,0.0,0.0,1.0,0.0,1,1.0,0.0,1.0,5.300000000000001,21.275434023065174,0.0,1.0
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,3.6030553117156296,0.7206110623431261,28.824442493725037,5.764888498745009,0.44622383431692014,0.1991157103124942,0.06983413759891643,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250336,0.0,1.0
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,3.5968832518864335,0.7193766503772867,28.77506601509147,5.755013203018294,0.6393626744582603,0.40878462949041944,0.09990356004067258,0.375,1.5612781244591325,3,0.325,1.8556390622295662,3.8,5.300000000000001,-2.2750660150914648,0.0,1.0
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,2.878908484281231,0.5757816968562461,23.03126787424985,4.606253574849969,0.9874093083450591,0.9749771422064681,0.19058864788667496,0.5,1.75,4,0.4,1.6433834373377398,3.4,5.300000000000001,3.4687321257501544,0.0,1.0
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,1,3.6030553117156305,0.7206110623431261,28.824442493725044,5.764888498745009,0.6095241047038121,0.37151963421498374,0.09065777877699754,0.375,1.9056390622295662,4,0.325,1.9433834373377397,4.0,5.300000000000001,-2.3244424937250407,0.0,1.4196663855146172
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,7,3.5968832518864335,0.7193766503772867,28.77506601509147,5.755013203018294,0.6393626744582603,0.40878462949041944,0.09990356004067258,0.375,1.5612781244591325,3,0.325,1.8556390622295662,3.8,5.300000000000001,-2.2750660150914648,0.0,1.389824704114846
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,21,2.878908484281231,0.5757816968562461,23.03126787424985,4.606253574849969,0.9874093083450591,0.9749771422064681,0.19058864788667496,0.5,1.75,4,0.4,1.6433834373377398,3.4,5.300000000000001,3.4687321257501544,0.0,1.3666272311753944
ucb_social_reputation_deceptive,global,True,0.0,fully_connected,1.0,0.25,0.7,1.0,1,2.2993334511872785,0.4598666902374557,18.394667609498228,3.6789335218996455,0.9686428365246452,0.9382689447505106,0.21196594985638328,0.5,1.5,3,0.4,1.674511249783653,3.4,5.300000000000001,8.105332390501776,0.2,1.311199871438513
ucb_social_reputation_deceptive,global,True,0.0,fully_connected,1.0,0.25,0.7,1.0,7,3.001063488392674,0.6002126976785348,24.008507907141393,4.801701581428278,0.617894240183667,0.3817932920521512,0.1117763673654395,0.375,1.9056390622295662,4,0.35,1.8556390622295662,3.8,5.300000000000001,2.4914920928586106,0.175,1.368284291911919
ucb_social_reputation_deceptive,global,True,0.0,fully_connected,1.0,0.25,0.7,1.0,21,2.859913400601129,0.5719826801202258,22.87930720480903,4.575861440961806,1.2527740010379087,1.5694426976765299,0.23929918219839963,0.375,1.9056390622295662,4,0.4,1.8433834373377398,4.0,5.300000000000001,3.6206927951909726,0.2,1.3536529005107802
