scenario,communication_structure,use_reputation,communication_noise,network_topology,reputation_strength,malicious_agent_ratio,lying_probability,lie_magnitude,seed,timestep,group_reward,mean_reward,most_popular_arm_share,choice_entropy,distinct_arms_chosen,arm_0_count,arm_0_share,arm_1_count,arm_1_share,arm_2_count,arm_2_share,arm_3_count,arm_3_share
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,1,0.9993119764837539,0.12491399706046924,1.0,0.0,1,8,1.0,0,0.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,2,0.9333746046586048,0.1166718255823256,1.0,0.0,1,8,1.0,0,0.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,3,1.7962470224529616,0.2245308778066202,1.0,0.0,1,0,0.0,8,1.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,4,1.2284722486328565,0.15355903107910707,1.0,0.0,1,0,0.0,8,1.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,5,1.2191265698131077,0.15239082122663847,1.0,0.0,1,0,0.0,0,0.0,8,1.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,1,1.8368790788896663,0.22960988486120829,1.0,0.0,1,8,1.0,0,0.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,2,1.048902727665091,0.13111284095813638,1.0,0.0,1,8,1.0,0,0.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,3,0.4388626524678578,0.05485783155848222,1.0,0.0,1,0,0.0,8,1.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,4,2.817530317333743,0.35219128966671787,1.0,0.0,1,0,0.0,8,1.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,5,1.5484743578059619,0.19355929472574523,1.0,0.0,1,0,0.0,0,0.0,8,1.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,1,0.06653345109767062,0.008316681387208827,1.0,0.0,1,8,1.0,0,0.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,2,0.7765616738046227,0.09707020922557784,1.0,0.0,1,8,1.0,0,0.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,3,2.015384329283567,0.2519230411604459,1.0,0.0,1,0,0.0,8,1.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,4,0.8150136504362752,0.1018767063045344,1.0,0.0,1,0,0.0,8,1.0,0,0.0,0,0.0
pure_ucb,none,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,5,1.5510728723126943,0.1938841090390868,1.0,0.0,1,0,0.0,0,0.0,8,1.0,0,0.0
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,2,7.275035183143043,0.9093793978928804,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,3,6.754822143591092,0.8443527679488865,0.375,1.9056390622295662,4,2,0.25,1,0.125,3,0.375,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,4,4.0259369436952115,0.5032421179619014,0.375,1.9056390622295662,4,1,0.125,2,0.25,3,0.375,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,1,5,5.50346428555042,0.6879330356938025,0.375,1.9056390622295662,4,2,0.25,2,0.25,1,0.125,3,0.375
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,1,7.165878101596913,0.8957347626996142,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,2,5.438274409866263,0.6797843012332829,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,3,5.730037987900128,0.716254748487516,0.375,1.9056390622295662,4,1,0.125,2,0.25,3,0.375,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,4,4.3187602818371,0.5398450352296374,0.375,1.8112781244591325,4,3,0.375,1,0.125,1,0.125,3,0.375
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,7,5,6.122115233891064,0.765264404236383,0.375,1.5612781244591325,3,2,0.25,0,0.0,3,0.375,3,0.375
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,1,5.525161181839173,0.6906451477298966,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,2,5.373273878827918,0.6716592348534898,0.375,1.5612781244591325,3,0,0.0,2,0.25,3,0.375,3,0.375
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,3,2.3770496210957694,0.2971312026369712,0.5,1.0,2,0,0.0,0,0.0,4,0.5,4,0.5
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,4,7.383700010465568,0.922962501308196,0.375,1.9056390622295662,4,2,0.25,1,0.125,3,0.375,2,0.25
ucb_social_information,global,False,0.0,fully_connected,0.0,0.0,0.0,0.0,21,5,2.3720831820214174,0.2965103977526772,0.5,1.75,4,1,0.125,2,0.25,1,0.125,4,0.5
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,1,1,5.265183937745277,0.6581479922181597,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,1,2,7.275035183143043,0.9093793978928804,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,1,3,6.754822143591092,0.8443527679488865,0.375,1.9056390622295662,4,2,0.25,1,0.125,3,0.375,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,1,4,4.0259369436952115,0.5032421179619014,0.375,1.9056390622295662,4,1,0.125,2,0.25,3,0.375,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,1,5,5.50346428555042,0.6879330356938025,0.375,1.9056390622295662,4,2,0.25,2,0.25,1,0.125,3,0.375
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,7,1,7.165878101596913,0.8957347626996142,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,7,2,5.438274409866263,0.6797843012332829,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,7,3,5.730037987900128,0.716254748487516,0.375,1.9056390622295662,4,1,0.125,2,0.25,3,0.375,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,7,4,4.3187602818371,0.5398450352296374,0.375,1.8112781244591325,4,3,0.375,1,0.125,1,0.125,3,0.375
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,7,5,6.122115233891064,0.765264404236383,0.375,1.5612781244591325,3,2,0.25,0,0.0,3,0.375,3,0.375
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,21,1,5.525161181839173,0.6906451477298966,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,21,2,5.373273878827918,0.6716592348534898,0.375,1.5612781244591325,3,0,0.0,2,0.25,3,0.375,3,0.375
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,21,3,2.3770496210957694,0.2971312026369712,0.5,1.0,2,0,0.0,0,0.0,4,0.5,4,0.5
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,21,4,7.383700010465568,0.922962501308196,0.375,1.9056390622295662,4,2,0.25,1,0.125,3,0.375,2,0.25
ucb_social_reputation,global,True,0.0,fully_connected,1.0,0.0,0.0,0.0,21,5,2.3720831820214174,0.2965103977526772,0.5,1.75,4,1,0.125,2,0.25,1,0.125,4,0.5
ucb_social_reputation_deceptive,global,True,0.0,fully_connected,1.0,0.25,0.7,1.0,1,1,6.656342097963474,0.8320427622454343,0.25,2.0,4,2,0.25,2,0.25,2,0.25,2,0.25
ucb_social_reputation_deceptive,global,True,0.0,fully_connected,1.0,0.25,0.7,1.0,1,2,0.3917914831488396,0.04897393539360495,0.375,1.5612781244591325,3,3,0.375,2,0.25,0,0.0,3,0.375
ucb_social_reputation_deceptive,global,True,0.0,fully_connected,1.0,0.25,0.7,1.0,1,3,4.381414348602889,0.5476767935753611,0.5,1.5,3,0,0.0,2,0.25,2,0.25,4,0.5
