scenario,communication_structure,network_topology,communication_noise,use_reputation,malicious_agent_ratio,lying_probability,lie_magnitude,reputation_strength,seed,average_cumulative_return,average_reward_over_time,final_group_performance,average_group_reward_per_timestep,cumulative_return_std,cumulative_return_variance,gini_coefficient,final_most_popular_arm_share,final_choice_entropy,final_distinct_arms_chosen,mean_most_popular_arm_share,mean_choice_entropy,mean_distinct_arms_chosen,oracle_expected_group_reward_per_step,expected_regret,mean_lie_rate,final_mean_reputation
sq1_global_baseline,global,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,2.4118801580599265,0.8039600526866422,19.295041264479412,6.431680421493137,0.42273099545791804,0.1787014945208423,0.09143302444433621,0.375,1.9056390622295662,4,0.2916666666666667,1.968546354076522,4.0,5.300000000000001,-3.39504126447941,0.0,1.0
sq1_local_returns,local,ring_lattice,0.0,False,0.0,0.0,0.0,0.0,1,0.6817333997565509,0.22724446658551692,5.453867198052407,1.8179557326841354,0.17674011745713242,0.031237069118760966,0.12962553801841525,0.5,1.0,2,0.5,1.0,2.0,5.300000000000001,10.446132801947595,0.0,1.0
sq1_local_returns,local,ring_lattice,0.15,False,0.0,0.0,0.0,0.0,1,0.6282119493638546,0.20940398312128491,5.025695594910837,1.6752318649702793,0.16244347427145917,0.026387882333382216,0.13661987022940636,0.5,1.0,2,0.5416666666666666,0.9848113343083217,2.0,5.300000000000001,10.874304405089166,0.0,1.0
sq1_local_returns,local,ring_lattice,0.3,False,0.0,0.0,0.0,0.0,1,0.6282119493638546,0.20940398312128491,5.025695594910837,1.6752318649702793,0.16244347427145917,0.026387882333382216,0.13661987022940636,0.5,1.0,2,0.5416666666666666,0.9848113343083217,2.0,5.300000000000001,10.874304405089166,0.0,1.0
sq1_local_returns,local,ring_lattice,0.6,False,0.0,0.0,0.0,0.0,1,0.6282119493638547,0.20940398312128491,5.025695594910838,1.6752318649702793,0.14910849488259537,0.022233343246152965,0.1217685962097379,0.5,1.0,2,0.5416666666666666,0.9848113343083217,2.0,5.300000000000001,10.874304405089164,0.0,1.0
sq1_local_returns,local,random_graph,0.0,False,0.0,0.0,0.0,0.0,1,1.789172153330736,0.596390717776912,14.313377226645889,4.771125742215296,0.667345400827694,0.44534988400587555,0.20723822926892588,0.5,1.5,3,0.4583333333333333,1.6352130207431887,3.3333333333333335,5.300000000000001,1.5866227733541134,0.0,1.0
sq1_local_returns,local,random_graph,0.15,False,0.0,0.0,0.0,0.0,1,1.6722313618229043,0.5574104539409681,13.377850894583235,4.459283631527745,0.2565757003945332,0.06583109003294527,0.08527718551057228,0.375,1.5612781244591325,3,0.4166666666666667,1.6556390622295662,3.3333333333333335,5.300000000000001,2.5221491054167675,0.0,1.0
sq1_local_returns,local,random_graph,0.3,False,0.0,0.0,0.0,0.0,1,1.672231361822904,0.5574104539409682,13.377850894583233,4.459283631527746,0.3907087521789049,0.1526533290291969,0.12752377558788375,0.375,1.5612781244591325,3,0.4166666666666667,1.6556390622295662,3.3333333333333335,5.300000000000001,2.5221491054167693,0.0,1.0
sq1_local_returns,local,random_graph,0.6,False,0.0,0.0,0.0,0.0,1,1.6722313618229045,0.5574104539409681,13.377850894583236,4.459283631527745,0.6891434086741829,0.47491863771907183,0.21813737533116262,0.5,1.5,3,0.4583333333333333,1.6037593748197108,3.3333333333333335,5.300000000000001,2.5221491054167657,0.0,1.0
sq1_local_returns,local,fully_connected,0.0,False,0.0,0.0,0.0,0.0,1,2.4118801580599265,0.8039600526866422,19.295041264479412,6.431680421493137,0.42273099545791804,0.1787014945208423,0.09143302444433621,0.375,1.9056390622295662,4,0.2916666666666667,1.968546354076522,4.0,5.300000000000001,-3.39504126447941,0.0,1.0
sq1_local_returns,local,fully_connected,0.15,False,0.0,0.0,0.0,0.0,1,1.7750171992192365,0.5916723997397456,14.200137593753892,4.733379197917965,0.6919258462523803,0.47876137671207264,0.21552172505758826,0.375,1.5612781244591325,3,0.2916666666666667,1.8537593748197108,3.6666666666666665,5.300000000000001,1.69986240624611,0.0,1.0
sq1_local_returns,local,fully_connected,0.3,False,0.0,0.0,0.0,0.0,1,1.7750171992192365,0.5916723997397456,14.200137593753892,4.733379197917965,0.6919258462523803,0.47876137671207264,0.21552172505758826,0.375,1.5612781244591325,3,0.2916666666666667,1.8537593748197108,3.6666666666666665,5.300000000000001,1.69986240624611,0.0,1.0
sq1_local_returns,local,fully_connected,0.6,False,0.0,0.0,0.0,0.0,1,2.032119867294907,0.6773732890983023,16.256958938359254,5.418986312786418,0.836461362999177,0.6996676117904408,0.2331412388941303,0.375,1.9056390622295662,4,0.2916666666666667,1.968546354076522,4.0,5.300000000000001,-0.3569589383592522,0.0,1.0
